JrId,JournalTitle,MedAbbr,ISSN (Print),ISSN (Online),IsoAbbr,NlmId
37501,Proceedings. IEEE International Conference on Bioinformatics and Biomedicine,Proceedings (IEEE Int Conf Bioinformatics Biomed),2156-1125,,Proceedings (IEEE Int Conf Bioinformatics Biomed),101525347
37502,IEEE International Vacuum Electronics Conference. International Vacuum Electronics Conference,IEEE Int Vac Electron Conf,,,IEEE Int Vac Electron Conf,101525354
37503,WIT transactions on modelling and simulation,WIT Trans Modelling Simul,1746-4064,1743-355X,WIT Trans Modelling Simul,101525359
37504,Proceedings. IEEE Ultrasonics Symposium,Proc IEEE Ultrason Symp,1051-0117,,Proc IEEE Ultrason Symp,101525361
37505,Annual reports in computational chemistry,Annu Rep Comput Chem,1574-1400,1875-5232,Annu Rep Comput Chem,101525363
37506,Research management review,Res Manag Rev,1068-4867,,Res Manag Rev,101525391
37507,International Conference on Scientific and Statistical Database Management,Int Conf Sci Stat Database Manag,1551-6393,,Int Conf Sci Stat Database Manag,101525393
37508,Cell health and cytoskeleton,Cell Health Cytoskelet,,1179-1330,Cell Health Cytoskelet,101525397
37510,Optoelectronic materials and devices,Optoelectron Mater Devices,,,Optoelectron Mater Devices,101525406
37511,Applied and computational harmonic analysis,Appl Comput Harmon Anal,1063-5203,1096-603X,Appl Comput Harmon Anal,101525593
37512,Applied clay science,Appl Clay Sci,0169-1317,1872-9053,Appl Clay Sci,101525617
37513,Current trends in immunology,Curr Trends Immunol,0972-4567,,Curr Trends Immunol,101525702
37514,Educational evaluation and policy analysis,Educ Eval Policy Anal,0162-3737,1935-1062,Educ Eval Policy Anal,101525710
37515,International journal of molecular epidemiology and genetics,Int J Mol Epidemiol Genet,,1948-1756,Int J Mol Epidemiol Genet,101525762
37516,International journal of sports science & coaching,Int J Sports Sci Coach,1747-9541,,Int J Sports Sci Coach,101525766
37517,Chapman & Hall/CRC handbooks of modern statistical methods,Chapman Hall CRC Handb Mod Stat Methods,,,Chapman Hall CRC Handb Mod Stat Methods,101525789
37518,Chapman & Hall/CRC mathematical & computational biology series,Chapman Hall CRC Math Comput Biol Ser,,,Chapman Hall CRC Math Comput Biol Ser,101525778
37519,"Governance (Oxford, England)",Governance (Oxf),0952-1895,1468-0491,Governance (Oxf),101525813
37520,International Conference on Auditory-Visual Speech Processing,Int Conf Audit Vis Speech Process,,,Int Conf Audit Vis Speech Process,101525831
37521,Proceedings. Workshop on Mathematical Methods in Biomedical Image Analysis,Proc Workshop Math Methods Biomed Image Analysis,,,Proc Workshop Math Methods Biomed Image Analysis,101525825
37522,Journal of informetrics,J Informetr,1751-1577,1875-5879,J Informetr,101526006
37523,International journal of antennas and propagation,Int J Antennas Propag,1687-5869,1687-5877,Int J Antennas Propag,101525827
37524,Journal of physical oceanography,J Phys Oceanogr,0022-3670,1520-0485,J Phys Oceanogr,101526036
37525,Journal of research on educational effectiveness,J Res Educ Eff,1934-5747,1934-5739,J Res Educ Eff,101526285
37526,Language policy,Lang Policy,1568-4555,1573-1863,Lang Policy,101526288
37528,The California journal of emergency medicine,Cal J Emerg Med,1948-3384,1948-3392,Cal J Emerg Med,101527253
37529,Criminology & criminal justice,Criminol Crim Justice,1748-8958,1748-8966,Criminol Crim Justice,101527477
37530,Cellular reprogramming,Cell Reprogram,2152-4971,2152-4998,Cell Reprogram,101528176
37531,Briefings in functional genomics,Brief Funct Genomics,2041-2649,2041-2657,Brief Funct Genomics,101528229
37533,World neurosurgery,World Neurosurg,1878-8750,1878-8769,World Neurosurg,101528275
37534,NASN school nurse (Print),NASN Sch Nurse,1942-602X,1942-6038,NASN Sch Nurse,101528330
37535,Annals of burns and fire disasters,Ann Burns Fire Disasters,1592-9558,1592-9566,Ann Burns Fire Disasters,101251186
37536,Korean journal of urology,Korean J Urol,2005-6737,2005-6745,Korean J Urol,101499376
37537,Molecular syndromology,Mol Syndromol,1661-8769,1661-8777,Mol Syndromol,101525192
37538,Journal of hepato-biliary-pancreatic sciences,J Hepatobiliary Pancreat Sci,1868-6974,1868-6982,J Hepatobiliary Pancreat Sci,101528587
37539,Nature communications,Nat Commun,,2041-1723,Nat Commun,101528555
37540,Journal of physiotherapy,J Physiother,1836-9553,1836-9561,J Physiother,101528691
37542,Mycology,Mycology,2150-1203,2150-1211,Mycology,101523848
37544,"Journal of scientific and industrial research (New Delhi, India",J Sci Ind Res (1942),0970-5740,,J Sci Ind Res (1942),101529274
37550,Contra Costa dental bulletin,Contra Costa Dent Bull,0573-827X,,Contra Costa Dent Bull,16410440R
37551,Advances in anesthesia,Adv Anesth,0737-6146,1878-0415,Adv Anesth,8409340
37552,The journal of multicultural nursing & health,J Multicult Nurs Health,1526-8233,,J Multicult Nurs Health,9509701
37553,Human and ecological risk assessment,Hum Ecol Risk Assess,1080-7039,1549-7860,Hum Ecol Risk Assess,9513572
37554,Men and masculinities,Men Masc,1097-184X,1552-6828,Men Masc,100910415
37555,Atlas of genetics and cytogenetics in oncology and haematology,Atlas Genet Cytogenet Oncol Haematol,,1768-3262,Atlas Genet Cytogenet Oncol Haematol,100956732
37556,IEEE photonics technology letters,IEEE Photonics Technol Lett,1041-1135,,IEEE Photonics Technol Lett,101212023
37557,Molbank,Molbank,,1422-8599,Molbank,101243469
37558,Neurociencias,Neurociencias,1807-1058,,Neurociencias,101502410
37559,Bereavement care,Bereave Care,0268-2621,1944-8279,Bereave Care,101515952
37560,Epigenomics,Epigenomics,1750-1911,1750-192X,Epigenomics,101519720
37561,"Conference record. Asilomar Conference on Signals, Systems & Computers",Conf Rec Asilomar Conf Signals Syst Comput,1058-6393,2576-2303,Conf Rec Asilomar Conf Signals Syst Comput,101525444
37562,AER journal,AER J,1945-5569,,AER J,101526687
37563,Cancers,Cancers (Basel),,2072-6694,Cancers (Basel),101526829
37564,"International journal of interferon, cytokine and mediator research",Int J Interferon Cytokine Mediat Res,,1179-139X,Int J Interferon Cytokine Mediat Res,101526749
37565,Community literacy journal,Community Lit J,1555-9734,,Community Lit J,101526857
37566,Concurrency and computation,Concurr Comput,1532-0626,1532-0634,Concurr Comput,101526872
37567,Journal of antivirals & antiretrovirals,J Antivir Antiretrovir,,1948-5964,J Antivir Antiretrovir,101526954
37568,Journal of cancer science & therapy,J Cancer Sci Ther,,1948-5956,J Cancer Sci Ther,101526958
37569,Journal of mechanics of materials and structures,J Mech Mater Struct,1559-3959,,J Mech Mater Struct,101526968
37570,Journal of religion & spirituality in social work,J Relig Spiritual Soc Work,1542-6432,1542-6440,J Relig Spiritual Soc Work,101526985
37571,JP journal of biostatistics,JP J Biostat,,0973-5143,JP J Biostat,101527004
37572,IEEE International Workshop on Genomic Signal Processing and Statistics,IEEE Int Workshop Genomic Signal Process Stat,2150-3001,2150-301X,IEEE Int Workshop Genomic Signal Process Stat,101527086
37573,"Proceedings ... International Joint Conference on Bioinformatics, Systems Biology and Intellgent Computing. International Joint Conference on Bioinformatics, Systems Biology and Intelligent Computing",Proc Int Joint Conf Bioinforma Syst Biol Intell Comput,,,Proc Int Joint Conf Bioinforma Syst Biol Intell Comput,101527094
37574,Energy minimization methods in computer vision and pattern recognition. International Workshop on Energy Minimization Methods in Computer Vision and Pattern Recognition,Energy Minimization Methods Comput Vis Pattern Recognit,,,Energy Minimization Methods Comput Vis Pattern Recognit,101527180
37576,Medical innovation & business,Med Innov Bus,1943-0701,1944-0499,Med Innov Bus,101527642
37579,Mindfulness,Mindfulness (N Y),1868-8527,1868-8535,Mindfulness (N Y),101518348
37582,Standards in genomic sciences,Stand Genomic Sci,,1944-3277,Stand Genomic Sci,101530505
37586,Indian journal of anaesthesia,Indian J Anaesth,0019-5049,0976-2817,Indian J Anaesth,0013243
37587,Separation science and technology,Sep Sci Technol,0149-6395,1520-5754,Sep Sci Technol,7804235
37588,Indian journal of medical and paediatric oncology,Indian J Med Paediatr Oncol,0971-5851,0975-2129,Indian J Med Paediatr Oncol,9604571
37589,Sleep and hypnosis,Sleep Hypn,1302-1192,,Sleep Hypn,100953639
37590,Slovenski veterinarski zbornik = Slovenian veterinary research,Slov Vet Zb,1580-4003,,Slov Vet Zb,100970096
37591,Stress and health,Stress Health,1532-3005,1532-2998,Stress Health,101089166
37592,Reviews in analgesia,Rev Analg,1542-961X,1555-3876,Rev Analg,101194724
37593,International journal of qualitative studies on health and well-being,Int J Qual Stud Health Well-being,1748-2623,1748-2631,Int J Qual Stud Health Well-being,101256506
37594,Core evidence,Core Evid,1555-1741,1555-175X,Core Evid,101256593
37595,Indian journal of palliative care,Indian J Palliat Care,0973-1075,1998-3735,Indian J Palliat Care,101261221
37596,GMS health technology assessment,GMS Health Technol Assess,,1861-8863,GMS Health Technol Assess,101276045
37597,Salud y drogas,Salud Drogas,1578-5319,1988-205X,Salud Drogas,101296295
37598,Pharmacognosy magazine,Pharmacogn Mag,0973-1296,0976-4062,Pharmacogn Mag,101300403
37599,Dermatology research and practice,Dermatol Res Pract,1687-6105,1687-6113,Dermatol Res Pract,101312803
37600,Journal of cardiovascular ultrasound,J Cardiovasc Ultrasound,1975-4612,2005-9655,J Cardiovasc Ultrasound,101477138
37601,Saudi journal of anaesthesia,Saudi J Anaesth,1658-354X,0975-3125,Saudi J Anaesth,101500601
37602,Korean journal of anesthesiology,Korean J Anesthesiol,2005-6419,2005-7563,Korean J Anesthesiol,101502451
37603,Therapeutic advances in medical oncology,Ther Adv Med Oncol,1758-8340,1758-8359,Ther Adv Med Oncol,101510808
37604,Oman journal of ophthalmology,Oman J Ophthalmol,0974-620X,0974-7842,Oman J Ophthalmol,101519430
37605,Frontiers in aging neuroscience,Front Aging Neurosci,,1663-4365,Front Aging Neurosci,101525824
37606,Journal of periodontal & implant science,J Periodontal Implant Sci,2093-2278,2093-2286,J Periodontal Implant Sci,101526931
37607,International journal of Ayurveda research,Int J Ayurveda Res,0974-7788,0974-925X,Int J Ayurveda Res,101527491
37608,Stem cell research & therapy,Stem Cell Res Ther,,1757-6512,Stem Cell Res Ther,101527581
37609,Science China. Life sciences,Sci China Life Sci,1674-7305,1869-1889,Sci China Life Sci,101529880
37614,Seeing and perceiving,Seeing Perceiving,1878-4755,1878-4763,Seeing Perceiving,101531524
37616,Korean diabetes journal,Korean Diabetes J,1976-9180,2093-2650,Korean Diabetes J,101477168
37617,The Korean journal of pain,Korean J Pain,2005-9159,2093-0569,Korean J Pain,101528125
37618,Journal of neurogastroenterology and motility,J Neurogastroenterol Motil,2093-0879,2093-0887,J Neurogastroenterol Motil,101530189
37619,The HUGO journal,Hugo J,1877-6558,1877-6566,Hugo J,101530565
37620,"European annals of otorhinolaryngology, head and neck diseases",Eur Ann Otorhinolaryngol Head Neck Dis,1879-7296,1879-730X,Eur Ann Otorhinolaryngol Head Neck Dis,101531465
37621,International journal of women's health,Int J Womens Health,,1179-1411,Int J Womens Health,101531698
37622,Clinical epidemiology,Clin Epidemiol,,1179-1349,Clin Epidemiol,101531700
37623,Aldrichimica acta,Aldrichimica Acta,0002-5100,,Aldrichimica Acta,0371157
37624,"Salud mental (Mexico City, Mexico)",Salud Ment (Mex),0185-3325,0186-761X,Salud Ment (Mex),8406047
37625,Contemporary family therapy,Contemp Fam Ther,0892-2764,,Contemp Fam Ther,8709401
37626,Diabetes spectrum,Diabetes Spectr,1040-9165,1944-7353,Diabetes Spectr,8913432
37628,Current organic chemistry,Curr Org Chem,1385-2728,1875-5348,Curr Org Chem,9801726
37629,Thermochimica acta,Thermochim Acta,0040-6031,1872-762X,Thermochim Acta,9884360
37630,Environmental practice,Environ Pract,1466-0466,1466-0474,Environ Pract,100959971
37631,Self and identity,Self Identity,1529-8868,1529-8876,Self Identity,101142172
37632,Academic journal of Xian Jiaotong University,Acad J Xian Jiaotong Univ,1671-8267,,Acad J Xian Jiaotong Univ,101161846
37633,Biophysical reviews and letters,Biophys Rev Lett,1793-0480,1793-7035,Biophys Rev Lett,101279468
37634,American journal of hematology/oncology,Am J Hematol Oncol,1939-6163,,Am J Hematol Oncol,101290405
37635,Health psychology review,Health Psychol Rev,1743-7199,1743-7202,Health Psychol Rev,101299723
37636,SAJCH,SAJCH,1994-3032,1999-7671,SAJCH,101316200
37637,"Water quality, exposure, and health",Water Qual Expo Health,1876-1658,1876-1666,Water Qual Expo Health,101484022
37638,Solid-state electronics,Solid State Electron,0038-1101,,Solid State Electron,101508534
37639,Translational stroke research,Transl Stroke Res,1868-4483,1868-601X,Transl Stroke Res,101517297
37640,Cartilage,Cartilage,1947-6035,1947-6043,Cartilage,101518378
37641,ACS medicinal chemistry letters,ACS Med Chem Lett,,1948-5875,ACS Med Chem Lett,101521073
37643,World leisure journal,World Leis J,1607-8055,1026-1133,World Leis J,101526983
37644,Rhetoric Society quarterly,Rhetor Soc Q,0277-3945,,Rhetor Soc Q,101526755
37645,Wiley interdisciplinary reviews. Computational statistics,Wiley Interdiscip Rev Comput Stat,1939-5108,1939-0068,Wiley Interdiscip Rev Comput Stat,101526762
37646,The American journal of pharmacy benefits,Am J Pharm Benefits,1945-4481,,Am J Pharm Benefits,101527002
37647,Proceedings. IEEE International Conference on Data Mining,Proc IEEE Int Conf Data Min,1550-4786,2374-8486,Proc IEEE Int Conf Data Min,101529961
37649,The open cancer journal,Open Cancer J,,1874-0790,Open Cancer J,101530219
37650,"Stanford journal of law, science & policy",Stanf J Law Sci Policy,,,Stanf J Law Sci Policy,101530695
37651,Proceedings of the ... Congress on Evolutionary Computation. Congress on Evolutionary Computation,Proc Congr Evol Comput,,,Proc Congr Evol Comput,101530697
37652,SIAM journal on imaging sciences,SIAM J Imaging Sci,,1936-4954,SIAM J Imaging Sci,101530763
37653,Proceedings of the ... IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,Proc IEEE Symp Comput Intell Bioinforma Comput Biol,,,Proc IEEE Symp Comput Intell Bioinforma Comput Biol,101530701
37654,Public relations review,Public Relat Rev,0363-8111,1873-4537,Public Relat Rev,101530764
37655,MIDAS journal,Midas J,,,Midas J,101531429
37656,Toxins,Toxins (Basel),,2072-6651,Toxins (Basel),101530765
37657,"American journal of education (Chicago, Ill.)",Am J Educ (Chic Ill),0195-6744,1549-6511,Am J Educ (Chic Ill),101531702
37658,Bulletin of the IACFS/ME,Bull IACFS ME,,,Bull IACFS ME,101531808
37659,The biochemist,Biochem (Lond),0954-982X,,Biochem (Lond),101531779
37660,Clinical medicine insights. Gastroenterology,Clin Med Insights Gastroenterol,,1179-5522,Clin Med Insights Gastroenterol,101531842
37661,Cardiovascular engineering and technology,Cardiovasc Eng Technol,1869-408X,1869-4098,Cardiovasc Eng Technol,101531846
37662,Clinical medicine insights. Case reports,Clin Med Insights Case Rep,,1179-5476,Clin Med Insights Case Rep,101531893
37663,"Community development (Columbus, Ohio)",Community Dev (Columb),1557-5330,1944-7485,Community Dev (Columb),101531910
37665,"Cyberpsychology, behavior and social networking",Cyberpsychol Behav Soc Netw,2152-2715,2152-2723,Cyberpsychol Behav Soc Netw,101528721
37666,Journal de chirurgie viscerale,J Chir Visc,1878-786X,1878-7878,J Chir Visc,101530148
37669,Journal of visceral surgery,J Visc Surg,,1878-7886,J Visc Surg,101532664
37670,Indoor + built environment,Indoor Built Environ,1420-326X,1423-0070,Indoor Built Environ,9607686
37671,Gut microbes,Gut Microbes,1949-0976,1949-0984,Gut Microbes,101495343
37672,Self/nonself,Self Nonself,1938-2030,1938-2049,Self Nonself,101495364
37673,"Nucleus (Austin, Tex.)",Nucleus,1949-1034,1949-1042,Nucleus,101518322
37674,Bioengineered bugs,Bioeng Bugs,1949-1018,1949-1026,Bioeng Bugs,101525147
37675,Virulence,Virulence,2150-5594,2150-5608,Virulence,101531386
37676,Case reports in ophthalmology,Case Rep Ophthalmol,,1663-2699,Case Rep Ophthalmol,101532006
37677,Clinical and translational gastroenterology,Clin Transl Gastroenterol,,2155-384X,Clin Transl Gastroenterol,101532142
37680,Annals of advances in automotive medicine. Association for the Advancement of Automotive Medicine. Annual Scientific Conference,Ann Adv Automot Med,1943-2461,,Ann Adv Automot Med,101528485
37681,Animal cells and systems,Anim Cells Syst (Seoul),1976-8354,2151-2485,Anim Cells Syst (Seoul),101478641
37682,Symposium on geometry processing,Symp Geom Process,1727-8384,,Symp Geom Process,101527497
37684,"Journal of molecular catalysis. A, Chemical",J Mol Catal A Chem,1381-1169,,J Mol Catal A Chem,9503958
37685,Journal of otology,J Otol,1672-2930,2524-1753,J Otol,101484080
37686,Journal of intelligent manufacturing,J Intell Manuf,0956-5515,1572-8145,J Intell Manuf,101530954
37687,Journal of marine systems,J Mar Syst,0924-7963,1879-1573,J Mar Syst,101530957
37688,"Journal of money, credit, and banking",J Money Credit Bank,0022-2879,1538-4616,J Money Credit Bank,101531081
37689,Journal of semantics,J Semant,0167-5133,1477-4593,J Semant,101531136
37690,Journal of park and recreation administration,J Park Recreat Admi,,,J Park Recreat Admi,101531156
37691,"Elements (Quebec, Quebec)",Elements (Que),1811-5209,1811-5217,Elements (Que),101531927
37692,European journal of clinical & medical oncology,European J Clin Med Oncol,1759-8958,1759-8966,European J Clin Med Oncol,101531943
37693,Experimental and therapeutic medicine,Exp Ther Med,1792-0981,1792-1015,Exp Ther Med,101531947
37696,"Illness, crises, and loss",Illn Crises Loss,1054-1373,1552-6968,Illn Crises Loss,9107504
37697,Nigerian journal of pharmaceutical sciences,Niger J Pharm Sci,0189-322X,,Niger J Pharm Sci,9426472
37698,Macromolecular chemistry and physics,Macromol Chem Phys,1022-1352,1521-3935,Macromol Chem Phys,9888237
37699,Psychology of men & masculinity,Psychol Men Masc,1524-9220,1939-151X,Psychol Men Masc,100890582
37700,"Psychotropes (Paris, France)",Psychotr (Paris),1245-2092,1782-1487,Psychotr (Paris),101097298
37701,Phytochemistry reviews,Phytochem Rev,1568-7767,1572-980X,Phytochem Rev,101198162
37702,Journal of veterinary behavior,J Vet Behav,1558-7878,1878-7517,J Vet Behav,101261851
37703,Nanoscale research letters,Nanoscale Res Lett,1931-7573,1556-276X,Nanoscale Res Lett,101279750
37704,International journal on document analysis and recognition (Online),Int J Doc Anal Recognit,1433-2833,1433-2825,Int J Doc Anal Recognit,101292826
37705,International journal of culture and mental health,Int J Cult Ment Health,1754-2863,1754-2871,Int J Cult Ment Health,101473248
37706,Language and cognition,Lang Cogn,1866-9808,1866-9859,Lang Cogn,101518784
37707,Journal of clinical research in pediatric endocrinology,J Clin Res Pediatr Endocrinol,1308-5727,1308-5735,J Clin Res Pediatr Endocrinol,101519456
37708,Summit on translational bioinformatics,Summit Transl Bioinform,,2153-6430,Summit Transl Bioinform,101528043
37709,Journal of the Optical Society of Korea,J Opt Soc Korea,1226-4776,,J Opt Soc Korea,101531166
37710,"Learning disabilities (Weston, Mass.)",Learn Disabil,1937-6928,1937-6936,Learn Disabil,101531222
37711,Journalism & mass communication quarterly,Journal Mass Commun Q,1077-6990,2161-430X,Journal Mass Commun Q,101531181
37712,North American journal of medicine & science,N Am J Med Sci (Boston),1946-9357,2156-2342,N Am J Med Sci (Boston),101531232
37713,Oncology letters,Oncol Lett,1792-1074,1792-1082,Oncol Lett,101531236
37714,"Oceanography (Washington, D.C.)",Oceanography (Wash D C),1042-8275,,Oceanography (Wash D C),101531234
37715,Open Longevity Science,Open Longev Sci,,1876-326X,Open Longev Sci,101531238
37716,The open prostate cancer journal,Open Prost Cancer J,,1876-8229,Open Prost Cancer J,101531241
37717,Optimization methods & software,Optim Methods Softw,1055-6788,1029-4937,Optim Methods Softw,101531251
37718,Physics and chemistry of the earth (2002),Phys Chem Earth (2002),1474-7065,1873-5193,Phys Chem Earth (2002),101531279
37719,Nano biomedicine and engineering,Nano Biomed Eng,,2150-5578,Nano Biomed Eng,101531283
37720,Political analysis,Polit Anal,1047-1987,1476-4989,Polit Anal,101531325
37721,"Polymer science. Series A, Chemistry, physics",Polym Sci Ser A Chem Phys,1757-1820,1555-6107,Polym Sci Ser A Chem Phys,101531328
37722,"Procedia, social and behavioral sciences",Procedia Soc Behav Sci,,1877-0428,Procedia Soc Behav Sci,101531411
37723,Orthopedic research and reviews,Orthop Res Rev,,1179-1462,Orthop Res Rev,101531415
37724,Primary prevention insights,Prim Prev Insights,,1179-1748,Prim Prev Insights,101531636
37725,Far east journal of applied mathematics,Far East J Appl Math,0972-0960,,Far East J Appl Math,101531934
37726,Fiscal studies,Fisc Stud,0143-5671,1475-5890,Fisc Stud,101531940
37727,INFORMS journal on computing,INFORMS J Comput,1091-9856,,INFORMS J Comput,101531948
37728,Intermountain journal of sciences,Intermt J Sci,1081-3519,,Intermt J Sci,101532073
37729,International geology review,Int Geol Rev,0020-6814,1938-2839,Int Geol Rev,101532074
37730,International journal of biochemistry and molecular biology,Int J Biochem Mol Biol,,2152-4114,Int J Biochem Mol Biol,101532076
37731,International journal of education and development using information and communication technology,Int J Educ Dev Using Inf Commun Technol,,1814-0556,Int J Educ Dev Using Inf Commun Technol,101532081
37732,International journal of genetics and molecular biology,Int J Genet Mol Biol,,2006-9863,Int J Genet Mol Biol,101532090
37733,Journal of biomedical science and engineering,J Biomed Sci Eng,1937-6871,1937-688X,J Biomed Sci Eng,101532098
37734,International journal of thermophysics,Int J Thermophys,0195-928X,1572-9567,Int J Thermophys,101532093
37735,Journal of computational mathematics,J Comput Math,0254-9409,1991-7139,J Comput Math,101532100
37736,Journal of diversity in higher education,J Divers High Educ,1938-8926,1938-8934,J Divers High Educ,101532104
37737,Shi yan li xue = Journal of experimental mechanics,Shi Yan Li Xue,1001-4888,,Shi Yan Li Xue,101532115
37738,Journal of eye movement research,J Eye Mov Res,,1995-8692,J Eye Mov Res,101532119
37739,FPGA. ACM International Symposium on Field-Programmable Gate Arrays,FPGA,,,FPGA,101532462
37740,Revista internacional de ciencias del deporte,Rev Int Cienc Deporte,,1885-3137,Rev Int Cienc Deporte,101532704
37741,Robotics science and systems,Robot Sci Syst,2330-7668,2330-765X,Robot Sci Syst,101532711
37743,Science China. Chemistry,Sci China Chem,1674-7291,1869-1870,Sci China Chem,101532738
37744,WASA ...,WASA,,,WASA,101532741
37745,Proceedings of the ... IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE/RSJ International Conference on Intelligent Robots and Systems,Rep U S,2153-0858,2153-0866,Rep U S,101532742
37746,Annual ORNL Biomedical Science and Engineering Center Conference. ORNL Biomedical Science and Engineering Center Conference,Annu ORNL Biomed Sci Eng Cent Conf,,,Annu ORNL Biomed Sci Eng Cent Conf,101532795
37747,Journal of plastic surgery and hand surgery,J Plast Surg Hand Surg,2000-656X,2000-6764,J Plast Surg Hand Surg,101534130
37748,The Behavior therapist,Behav Ther (N Y N Y),0278-8403,,Behav Ther (N Y N Y),8210642
37749,The Journal of supercomputing,J Supercomput,0920-8542,1573-0484,J Supercomput,9889997
37750,Techniques in gastrointestinal endoscopy,Tech Gastrointest Endosc,1096-2883,1558-5050,Tech Gastrointest Endosc,100889184
37751,The Internet journal of pediatrics and neonatology,Internet J Pediatr Neonatol,,1528-8374,Internet J Pediatr Neonatol,101158224
37752,Sequential analysis,Seq Anal,0747-4946,1532-4176,Seq Anal,101471708
37753,Surgical pathology clinics,Surg Pathol Clin,1875-9181,1875-9157,Surg Pathol Clin,101491209
37754,The open allergy journal,Open Allergy J,,1874-8384,Open Allergy J,101532748
37755,The open geriatric medicine journal,Open Geriatr Med J,,1874-8279,Open Geriatr Med J,101532750
37756,The open nutrition journal,Open Nutr J,,1874-2882,Open Nutr J,101532751
37757,Qualitative report (Online),Qual Rep,,2160-3715,Qual Rep,101532755
37758,US psychiatry,US Psyc,1756-4735,1756-4743,US Psyc,101532812
37759,"Zeitschrift fur physikalische Chemie (Frankfurt am Main, Germany)",Z Phys Chem (N F),0942-9352,,Z Phys Chem (N F),1305675
37760,Craniofacial growth series,Craniofac Growth Ser,0162-7279,,Craniofac Growth Ser,7802333
37761,Residential treatment for children & youth,Resid Treat Child Youth,0886-571X,1541-0358,Resid Treat Child Youth,8805080
37762,Journal of psychotherapy integration,J Psychother Integr,1053-0479,1573-3696,J Psychother Integr,9110831
37763,Acta neuropsychiatrica,Acta Neuropsychiatr,0924-2708,1601-5215,Acta Neuropsychiatr,9612501
37764,Homicide studies,Homicide Stud,1088-7679,1552-6720,Homicide Stud,100890634
37765,Ground water monitoring & remediation,Ground Water Monit Remediat,1069-3629,1745-6592,Ground Water Monit Remediat,100911134
37766,Adolescent & family health,Adolesc Fam Health,1533-9890,,Adolesc Fam Health,101085894
37767,President's Council on Physical Fitness and Sports research digest,Pres Counc Phys Fit Sports Res Dig,,,Pres Counc Phys Fit Sports Res Dig,101151729
37768,Analyses of social issues and public policy,Anal Soc Issues Public Policy,1529-7489,1530-2415,Anal Soc Issues Public Policy,101183751
37769,Sociological studies of children and youth,Sociol Stud Child Youth,1537-4661,,Sociol Stud Child Youth,101189491
37770,"Depression, mind and body",Depress Mind Body,1479-5035,,Depress Mind Body,101230844
37771,"Pharmaceuticals (Basel, Switzerland)",Pharmaceuticals (Basel),,1424-8247,Pharmaceuticals (Basel),101238453
37772,Current enzyme inhibition,Curr Enzym Inhib,1573-4080,1875-6662,Curr Enzym Inhib,101239894
37773,Current cardiovascular risk reports,Curr Cardiovasc Risk Rep,1932-9520,1932-9563,Curr Cardiovasc Risk Rep,101463024
37774,Statistical analysis and data mining,Stat Anal Data Min,1932-1864,1932-1872,Stat Anal Data Min,101492808
37775,Genes & cancer,Genes Cancer,1947-6019,1947-6027,Genes Cancer,101516546
37776,AJOB neuroscience,AJOB Neurosci,2150-7740,2150-7759,AJOB Neurosci,101518076
37777,Hormones & cancer,Horm Cancer,1868-8497,1868-8500,Horm Cancer,101518427
37778,Advances and applications in statistics,Adv Appl Stat,0972-3617,,Adv Appl Stat,101528368
37779,Australian & New Zealand journal of statistics,Aust N Z J Stat,1369-1473,1467-842X,Aust N Z J Stat,101528540
37780,Applied environmental education and communication (Print),Appl Environ Educ Commun,1533-015X,1533-0389,Appl Environ Educ Commun,101528525
37781,Calculus of variations and partial differential equations,Calc Var Partial Differ Equ,0944-2669,1432-0835,Calc Var Partial Differ Equ,101528586
37782,"Community, work & family",Community Work Fam,1366-8803,1469-3615,Community Work Fam,101528771
37783,Computer animation and virtual worlds,Comput Animat Virtual Worlds,1546-4261,1546-427X,Comput Animat Virtual Worlds,101528823
37784,Current topics in pharmacology,Curr Top Pharmacol,0972-4559,,Curr Top Pharmacol,101528853
37785,Digital signal processing,Digit Signal Process,1051-2004,1095-4333,Digit Signal Process,101529096
37786,"Educational policy (Los Altos, Calif.)",Educ Policy (Los Altos Calif),0895-9048,1552-3896,Educ Policy (Los Altos Calif),101529102
37787,Focaal,Focaal,0920-1297,1558-5263,Focaal,101529109
37789,Genetics & epigenetics,Genet Epigenet,,1179-237X,Genet Epigenet,101529202
37790,Glycobiology insights,Glycobiol Insights,,1179-2515,Glycobiol Insights,101529205
37792,Proceedings. IEEE Virtual Reality Conference,Proc IEEE Virtual Real Conf,,,Proc IEEE Virtual Real Conf,101530287
37793,GROUP ...,GROUP ACM SIGCHI Int Conf Support Group Work,,,GROUP ACM SIGCHI Int Conf Support Group Work,101531697
37794,Pharmaceutical reviews,Pharm Rev,,1918-5561,Pharm Rev,101532875
37795,Sexuality & culture,Sex Cult,1095-5143,1936-4822,Sex Cult,101532877
37796,Statistical methods & applications,Stat Methods Appt,1618-2510,1613-981X,Stat Methods Appt,101532881
37797,The econometrics journal,Econom J,1368-4221,1368-423X,Econom J,101532883
37798,Washington State journal of public health practice,Wash State J Public Health Pract,,1934-6360,Wash State J Public Health Pract,101532954
37799,The open pediatric medicine journal,Open Pediatr Med Journal,,1874-3099,Open Pediatr Med Journal,101532952
37800,International journal of secure software engineering,Int J Secur Softw Eng,1947-3036,1947-3044,Int J Secur Softw Eng,101532958
